scenario,n,method,bias,se,sd,cov,corr,nrmse,skip,used,n_seeds
D,5000,tarnet,0.1621653073954375,0.03654628995043557,0.038126181969161545,0.02,0.9030188136764755,0.430611998776952,0,200,200
D,5000,bk,0.3856213686069628,,,0.0,,,,,200
D,10000,ridge,0.15255478848575393,0.037784154384397486,0.0490973909278639,0.09,0.6023425992903945,0.7750069760733723,0,200,200
D,10000,rf_tuned,0.16154112822009964,0.03533961064727492,0.03604208777740328,0.0,0.650852669639129,0.7550726105605372,0,200,200
D,10000,tnet,0.15847466883690398,0.027448315576746554,0.02899175729272141,0.0,0.8429603284972729,0.5796735358492985,0,200,200
D,10000,tarnet,0.15906587627319457,0.02521767929450125,0.02687086842767079,0.0,0.9271165018696723,0.37584303730453184,0,200,200
D,10000,bk,0.38444979950839236,,,0.0,,,,,200
E,500,ridge,-0.003550891767371417,0.125126013710301,0.1268721190798096,0.955,0.8128423426204751,0.6370395289764667,0,200,200
E,500,rf_tuned,0.008254557981289379,0.16270159439153173,0.16988505303068946,0.9690721649484536,0.6268805738030467,0.7889890150911069,6,194,200
E,500,tnet,-0.027370826492438716,0.15119054602457097,0.1950783069236499,0.9390862944162437,0.6542559545321802,1.0536251181400995,3,197,200
E,500,tarnet,-0.016675926960744103,0.14322538470233095,0.1554669128378151,0.9547738693467337,0.7128149796395802,0.9028328797456798,1,199,200
E,500,bk,0.3143566121661833,,,0.0,,,,,200
E,1000,ridge,0.0013077534750055575,0.08006855011191655,0.07918154169043413,0.965,0.8743449869135873,0.5073108873972734,0,200,200
E,1000,rf_tuned,-0.008404606069821408,0.10407383106415588,0.09982371660964516,0.96,0.6846652147827953,0.7340862469810092,0,200,200
E,1000,tnet,0.006101600382906025,0.11257742794646527,0.11836296031221287,0.9397590361445783,0.6041169711979636,1.24271755089748,34,166,200
E,1000,tarnet,-0.002426935801053881,0.07855829179461593,0.07528462821146642,0.96,0.8985052444525711,0.45649357448016015,0,200,200
E,1000,bk,0.3177043714809398,,,0.0,,,,,200
E,2000,ridge,0.0032324527391804914,0.05329452948463515,0.05294780406804149,0.945,0.9055374006854763,0.42949904632764413,0,200,200
E,2000,rf_tuned,0.008036485034498442,0.06713119306614838,0.06739006615903552,0.96,0.7238550075534955,0.6920657641525619,0,200,200
E,2000,tnet,0.0032466745915547546,0.06661658299300634,0.06471752551233875,0.955,0.7270382596156213,0.9076218720155973,0,200,200
E,2000,tarnet,0.0018913269153755241,0.05160739391066217,0.0517860601891798,0.95,0.9247793377412392,0.38564384469781593,0,200,200
E,2000,bk,0.3179483059906769,,,0.0,,,,,200
E,5000,ridge,-0.0038901155063606196,0.03300110576326569,0.03549792883583228,0.93,0.9252004080780548,0.3755472119815504,0,200,200
E,5000,rf_tuned,-0.0030147662933273367,0.03994201273280845,0.04358181328067835,0.945,0.7660213258120223,0.6443196106623786,0,200,200
E,5000,tnet,-0.0016923534221399694,0.03856379205293227,0.042731185858816474,0.94,0.7919055258847376,0.7457973475040783,0,200,200
E,5000,tarnet,-0.001330098630001303,0.03181431551680751,0.033423346351876555,0.93,0.9600103459117151,0.2835588848603937,0,200,200
E,5000,bk,0.31619487598313994,,,0.0,,,,,200
E,10000,ridge,-0.0031277841771783776,0.023068365186394824,0.02180862339708828,0.975,0.9322071866775028,0.3552782005366919,0,200,200
E,10000,rf_tuned,-0.002469723177960431,0.02690126753400005,0.02511557850926005,0.955,0.7972993772823267,0.6066948706590627,0,200,200
E,10000,tnet,-0.003388732526246635,0.022968320451595893,0.021916175215526617,0.955,0.9290883024521722,0.38801824575469596,0,200,200
E,10000,tarnet,-0.0014298336182286264,0.022038508698536526,0.020771623304739795,0.965,0.9697387792889279,0.24677277067877626,0,200,200
E,10000,bk,0.31579059280928656,,,0.0,,,,,200
Dsmall,500,ridge,0.054455076170577654,0.223843006776403,0.4041536409990179,0.9453551912568307,0.44539823091181463,0.9506682170562906,17,183,200
Dsmall,500,rf_tuned,0.05740320669692778,0.2382646013166175,0.292973816120338,0.9322033898305084,0.424170964483252,0.9183746016180205,23,177,200
Dsmall,500,tnet,-0.01256377440242784,0.21790403754701962,0.34162539963443267,0.9339622641509434,0.425069255899166,1.2837719042496891,94,106,200
Dsmall,500,tarnet,0.027161419037147194,0.2114667255397901,0.29569504109120565,0.935064935064935,0.46426815280674405,1.2106103735531686,46,154,200
Dsmall,500,bk,0.32448895219805685,,,0.0,,,,,200
Dsmall,1000,ridge,0.028712902175585253,0.13448633641374305,0.2478841240650889,0.9587628865979382,0.5138271399019475,0.8642271086038424,6,194,200
Dsmall,1000,rf_tuned,0.03424282170922466,0.14609315399737247,0.1531056976618412,0.9441624365482234,0.49819386021533885,0.8682473313879353,3,197,200
Dsmall,1000,tnet,0.06190237443695196,0.13465677649723123,0.047339972051431534,1.0,0.45157571727083706,1.442466046284508,198,2,200
Dsmall,1000,tarnet,0.020437581145322792,0.0948395925855128,0.09271853210712495,0.95,0.7548607419644747,0.6805390971485776,0,200,200
Dsmall,1000,bk,0.3269935946888539,,,0.0,,,,,200
Dsmall,2000,ridge,0.0454623835103285,0.08667102418803,0.1238920215677034,0.9090909090909091,0.559943529781799,0.8153014534421223,2,198,200
Dsmall,2000,rf_tuned,0.05236614785060073,0.08836264603965874,0.09426781958141418,0.915,0.5567828921328772,0.8262668664374937,0,200,200
Dsmall,2000,tnet,0.038814011314884045,0.08285343391955904,0.07902761081867651,0.895,0.5948305745596815,1.105603090660654,0,200,200
